time,h_GR,h_GAF
0.1016,-2.20301e-21,-2.20301e-21
0.1021,-2.62083e-21,-2.62083e-21
0.1026,-1.97387e-21,-1.97387e-21
0.1031,-5.16972e-22,-5.16972e-22
0.1036,1.15917e-21,1.15917e-21
0.1041,2.36557e-21,2.36557e-21
0.1046,2.59845e-21,2.59845e-21
0.1051,1.75200e-21,1.75200e-21
0.1056,1.69696e-22,1.69696e-22
0.1061,-1.49164e-21,-1.49164e-21
0.1066,-2.53284e-21,-2.53284e-21
0.1071,-2.50745e-21,-2.50745e-21
0.1076,-1.41614e-21,-1.41614e-21
0.1081,2.85350e-22,2.85350e-22
0.1086,1.87315e-21,1.87315e-21
0.1091,2.66209e-21,2.66209e-21
0.1096,2.30297e-21,2.30297e-21
0.1101,9.40690e-22,9.40690e-22
0.1106,-8.39611e-22,-8.39611e-22
0.1111,-2.26084e-21,-2.26084e-21
0.1116,-2.69284e-21,-2.69284e-21
0.1121,-1.93432e-21,-1.93432e-21
0.1126,-3.10861e-22,-3.10861e-22
0.1131,1.46037e-21,1.46037e-21
0.1136,2.58504e-21,2.58504e-21
0.1141,2.54470e-21,2.54470e-21
0.1146,1.35584e-21,1.35584e-21
0.1151,-4.61773e-22,-4.61773e-22
0.1156,-2.07794e-21,-2.07794e-21
0.1161,-2.74641e-21,-2.74641e-21
0.1166,-2.14779e-21,-2.14779e-21
0.1171,-5.46907e-22,-5.46907e-22
0.1176,1.31876e-21,1.31876e-21
0.1181,2.57561e-21,2.57561e-21
0.1186,2.62350e-21,2.62350e-21
0.1191,1.42643e-21,1.42643e-21
0.1196,-4.58260e-22,-4.58260e-22
0.1201,-2.13430e-21,-2.13430e-21
0.1206,-2.79125e-21,-2.79125e-21
0.1211,-2.09916e-21,-2.09916e-21
0.1216,-3.79952e-22,-3.79952e-22
0.1221,1.53587e-21,1.53587e-21
0.1226,2.70684e-21,2.70684e-21
0.1231,2.54433e-21,2.54433e-21
0.1236,1.11365e-21,1.11365e-21
0.1241,-8.83684e-22,-8.83684e-22
0.1246,-2.44858e-21,-2.44858e-21
0.1251,-2.78335e-21,-2.78335e-21
0.1256,-1.70264e-21,-1.70264e-21
0.1261,2.57176e-22,2.57176e-22
0.1266,2.09722e-21,2.09722e-21
0.1271,2.86254e-21,2.86254e-21
0.1276,2.14088e-21,2.14088e-21
0.1281,2.91952e-22,2.91952e-22
0.1286,-1.72333e-21,-1.72333e-21
0.1291,-2.83781e-21,-2.83781e-21
0.1296,-2.44503e-21,-2.44503e-21
0.1301,-7.36424e-22,-7.36424e-22
0.1306,1.38192e-21,1.38192e-21
0.1311,2.76363e-21,2.76363e-21
0.1316,2.64299e-21,2.64299e-21
0.1321,1.06634e-21,1.06634e-21
0.1326,-1.11239e-21,-1.11239e-21
0.1331,-2.68649e-21,-2.68649e-21
0.1336,-2.76422e-21,-2.76422e-21
0.1341,-1.28099e-21,-1.28099e-21
0.1346,9.41605e-22,9.41605e-22
0.1351,2.64174e-21,2.64174e-21
0.1356,2.83232e-21,2.83232e-21
0.1361,1.38116e-21,1.38116e-21
0.1366,-8.87857e-22,-8.87857e-22
0.1371,-2.65216e-21,-2.65216e-21
0.1376,-2.85947e-21,-2.85947e-21
0.1381,-1.36300e-21,-1.36300e-21
0.1386,9.63983e-22,9.63983e-22
0.1391,2.72641e-21,2.72641e-21
0.1396,2.84182e-21,2.84182e-21
0.1401,1.21397e-21,1.21397e-21
0.1406,-1.17785e-21,-1.17785e-21
0.1411,-2.85584e-21,-2.85584e-21
0.1416,-2.75562e-21,-2.75562e-21
0.1421,-9.12024e-22,-9.12024e-22
0.1426,1.52848e-21,1.52848e-21
0.1431,3.00852e-21,3.00852e-21
0.1436,2.55437e-21,2.55437e-21
0.1441,4.29940e-22,4.29940e-22
0.1446,-1.99610e-21,-1.99610e-21
0.1451,-3.12078e-21,-3.12078e-21
0.1456,-2.17003e-21,-2.17003e-21
0.1461,2.51708e-22,2.51708e-22
0.1466,2.52489e-21,2.52489e-21
0.1471,3.08923e-21,3.08923e-21
0.1476,1.52391e-21,1.52391e-21
0.1481,-1.11875e-21,-1.11875e-21
0.1486,-3.00031e-21,-3.00031e-21
0.1491,-2.77171e-21,-2.77171e-21
0.1496,-5.56737e-22,-5.56737e-22
0.1502,2.08263e-21,2.08263e-21
0.1507,3.23055e-21,3.23055e-21
0.1512,2.01323e-21,2.01323e-21
0.1517,-7.12068e-22,-7.12068e-22
0.1522,-3.16129e-21,-3.16129e-21
0.1527,-2.95585e-21,-2.95585e-21
0.1532,-7.19949e-22,-7.19949e-22
0.1537,2.09630e-21,2.09630e-21
0.1542,3.30871e-21,3.30871e-21
0.1547,1.92770e-21,1.92770e-21
0.1552,-1.00362e-21,-1.00362e-21
0.1557,-3.16129e-21,-3.16129e-21
0.1562,-2.77385e-21,-2.77385e-21
0.1567,-1.02155e-22,-1.02155e-22
0.1572,2.68644e-21,2.68644e-21
0.1577,3.25196e-21,3.25196e-21
0.1582,1.06143e-21,1.06143e-21
0.1587,-2.06870e-21,-2.06870e-21
0.1592,-3.43992e-21,-3.43992e-21
0.1597,-1.80247e-21,-1.80247e-21
0.1602,1.46125e-21,1.46125e-21
0.1607,3.45129e-21,3.45129e-21
0.1612,2.31877e-21,2.31877e-21
0.1617,-9.72000e-22,-9.72000e-22
0.1622,-3.39875e-21,-3.39875e-21
0.1627,-2.63678e-21,-2.63678e-21
0.1632,6.70004e-22,6.70004e-22
0.1637,3.37250e-21,3.37250e-21
0.1642,2.78462e-21,2.78462e-21
0.1647,-6.00972e-22,-6.00972e-22
0.1652,-3.42811e-21,-3.42811e-21
0.1657,-2.76561e-21,-2.76561e-21
0.1662,8.01173e-22,8.01173e-22
0.1667,3.57480e-21,3.57480e-21
0.1672,2.53739e-21,2.53739e-21
0.1677,-1.29888e-21,-1.29888e-21
0.1682,-3.75416e-21,-3.75416e-21
0.1687,-2.00052e-21,-2.00052e-21
0.1692,2.08900e-21,2.08900e-21
0.1697,3.80481e-21,3.80481e-21
0.1702,1.01337e-21,1.01337e-21
0.1707,-3.06243e-21,-3.06243e-21
0.1712,-3.42710e-21,-3.42710e-21
0.1717,5.24691e-22,5.24691e-22
0.1722,3.88190e-21,3.88190e-21
0.1727,2.21292e-21,2.21292e-21
0.1732,-2.99605e-21,-2.99605e-21
0.1737,-3.64370e-21,-3.64370e-21
0.1742,1.44496e-21,1.44496e-21
0.1747,4.32339e-21,4.32339e-21
0.1752,7.23305e-23,7.23305e-23
0.1757,-4.41968e-21,-4.41968e-21
0.1762,-1.22755e-21,-1.22755e-21
0.1767,4.29487e-21,4.29487e-21
0.1772,1.89402e-21,1.89402e-21
0.1777,-4.26883e-21,-4.26883e-21
0.1782,-2.00935e-21,-2.00935e-21
0.1787,4.52894e-21,4.52894e-21
0.1792,1.41761e-21,1.41761e-21
0.1797,-5.00823e-21,-5.00823e-21
0.1802,2.15712e-22,2.15712e-22
0.1807,5.06697e-21,5.06697e-21
0.1812,-3.09998e-21,-3.09998e-21
0.1817,-3.00952e-21,-3.00952e-21
0.1822,5.73244e-21,5.73244e-21
0.1827,-2.85171e-21,-2.85171e-21
0.1832,-2.17048e-21,-2.17048e-21
0.1837,5.66899e-21,5.66899e-21
0.1842,-6.95612e-21,-6.95612e-21
0.1847,7.51328e-21,7.51328e-21
0.1852,-8.43249e-21,-8.43249e-21
0.1857,-7.96006e-22,-7.96006e-22
0.1862,6.95078e-21,3.47539e-21
0.1867,2.53366e-21,1.26683e-21
0.1872,-2.25269e-21,-1.12634e-21
0.1877,-4.78161e-21,-2.39080e-21
0.1882,-4.20824e-21,-2.10412e-21
0.1887,-1.52427e-21,-7.62134e-22
0.1892,1.37595e-21,6.87973e-22
0.1897,2.90247e-21,1.45124e-21
0.1902,2.54778e-21,1.27389e-21
0.1907,9.16946e-22,4.58473e-22
0.1912,-8.40374e-22,-4.20187e-22
0.1917,-1.76180e-21,-8.80901e-22
0.1922,-1.54247e-21,-7.71237e-22
0.1927,-5.51564e-22,-2.75782e-22
0.1932,5.13234e-22,2.56617e-22
0.1937,1.06940e-21,5.34702e-22
0.1942,9.33833e-22,4.66917e-22
0.1947,3.31754e-22,1.65877e-22
0.1952,-3.13423e-22,-1.56712e-22
0.1957,-6.49114e-22,-3.24557e-22
0.1962,-5.65348e-22,-2.82674e-22
0.1967,-1.99529e-22,-9.97646e-23
0.1972,1.91390e-22,9.56949e-23
0.1977,3.93999e-22,1.96999e-22
0.1982,3.42261e-22,1.71130e-22
0.1987,1.19995e-22,5.99977e-23
0.1992,-1.16864e-22,-5.84319e-23
0.1997,-2.39147e-22,-1.19573e-22
0.2002,-2.07201e-22,-1.03601e-22
0.2007,-7.21589e-23,-3.60794e-23
0.2012,7.13533e-23,3.56767e-23
0.2017,1.45154e-22,7.25769e-23
0.2022,1.25436e-22,6.27182e-23
0.2027,4.33893e-23,2.16946e-23
0.2032,-4.35634e-23,-2.17817e-23
0.2037,-8.81025e-23,-4.40512e-23
0.2042,-7.59363e-23,-3.79682e-23
0.2047,-2.60880e-23,-1.30440e-23
0.2052,2.65953e-23,1.32976e-23
0.2057,5.34740e-23,2.67370e-23
0.2062,4.59695e-23,2.29848e-23
0.2067,1.56843e-23,7.84217e-24
0.2072,-1.62353e-23,-8.11767e-24
0.2077,-3.24558e-23,-1.62279e-23
0.2082,-2.78282e-23,-1.39141e-23
0.2087,-9.42880e-24,-4.71440e-24
0.2092,9.91044e-24,4.95522e-24
0.2097,1.96987e-23,9.84933e-24
0.2102,1.68460e-23,8.42298e-24
0.2107,5.66776e-24,2.83388e-24
0.2112,-6.04922e-24,-3.02461e-24
0.2117,-1.19557e-23,-5.97787e-24
0.2122,-1.01977e-23,-5.09884e-24
0.2127,-3.40668e-24,-1.70334e-24
0.2132,3.69217e-24,1.84609e-24
0.2137,7.25624e-24,3.62812e-24
0.2142,6.17306e-24,3.08653e-24
